# OSM export 2014-01-12T18:22:01Z
# Map data © OpenStreetMap contributors - http://www.openstreetmap.org/, licensed under ODbL - http://opendatacommons.org/licenses/odbl/

foot	(low tide route)
 48.4223026   10.3024736
 48.4223156   10.3023816
 48.4223436   10.3023348
 48.4223867   10.3022910
 48.4224357   10.3022895
 48.4224697   10.3023152
 48.4224818   10.3023680
 48.4224697   10.3024344
 48.4224307   10.3024706
 48.4224087   10.3025203
 48.4224237   10.3025731
 48.4224577   10.3025867
 48.4224898   10.3025565
 48.4225168   10.3024585
 48.4225378   10.3024328
 48.4225799   10.3024464
 48.4225929   10.3024811
 48.4225899   10.3025234
 48.4225649   10.3025565
 48.4225298   10.3025716
 48.4225208   10.3026139
 48.4225348   10.3026697
 48.4225729   10.3027602
 48.4225669   10.3028039
 48.4225368   10.3028492
 48.4224958   10.3028567
 48.4224637   10.3028221
 48.4223026   10.3024736

foot	68 (AIRBUS)
 53.5464939    9.8626584
 53.5460806    9.8619152
 53.5456979    9.8588352
 53.5455245    9.8432054
 53.5453206    9.8422956
 53.5448718    9.8412828
 53.5447758    9.8409591

tourist	72
 53.5446197    9.9721747
 53.5440284    9.9724493
 53.5436013    9.9728050
 53.5431040    9.9736220
 53.5410656    9.9791933
 53.5401284    9.9837746
 53.5400582    9.9854161
 53.5402176    9.9861885
 53.5403610    9.9864382
 53.5400009    9.9862636
 53.5396629    9.9864568
 53.5392421    9.9869181
 53.5378904    9.9872722
 53.5370870    9.9869503
 53.5368129    9.9863924
 53.5369188    9.9851149
 53.5372052    9.9857483
 53.5379066    9.9859628
 53.5387992    9.9852547
 53.5391404    9.9845751
 53.5401764    9.9815855
 53.5408799    9.9790111
 53.5429567    9.9734079
 53.5435075    9.9725496
 53.5439860    9.9722278
 53.5446197    9.9721747

foot	73
 53.5241955    9.9818493
 53.5249385    9.9808301
 53.5254360    9.9801971
 53.5257677    9.9793066
 53.5259463    9.9779547
 53.5268126    9.9767999
 53.5271850    9.9767741
 53.5282030    9.9760876
 53.5283891    9.9765338
 53.5291054    9.9766034
 53.5347512    9.9757294
 53.5391859    9.9790312
 53.5395010    9.9790580
 53.5397160    9.9788576
 53.5398784    9.9782841
 53.5398295    9.9777370
 53.5396586    9.9772645
 53.5397335    9.9772667
 53.5402088    9.9772805
 53.5406482    9.9767897
 53.5408426    9.9761502
 53.5409319    9.9752158
 53.5407476    9.9743672
 53.5411984    9.9743703
 53.5415121    9.9739734
 53.5421215    9.9723651
 53.5427323    9.9716570
 53.5436210    9.9716420
 53.5446197    9.9721747

foot	75
 53.5401279    9.9664910
 53.5400936    9.9666453
 53.5401419    9.9669092
 53.5406677    9.9672946
 53.5416878    9.9680585
 53.5429221    9.9691743
 53.5434682    9.9699183
 53.5439986    9.9707595
 53.5443148    9.9714633
 53.5446197    9.9721747

foot	901;902 #901;902
 55.6791344   12.5943156
 55.6790604   12.5943825
 55.6787694   12.5946120
 55.6786283   12.5946300
 55.6785228   12.5945236
 55.6744378   12.5868697
 55.6742336   12.5868834
 55.6741811   12.5870225
 55.6741841   12.5867728
 55.6721871   12.5808657
 55.6722332   12.5807101
 55.6720106   12.5809624
 55.6716202   12.5808183
 55.6627540   12.5681826
 55.6615962   12.5686463
 55.6616454   12.5672989
 55.6528705   12.5599464
 55.6510724   12.5592261
 55.6471089   12.5536373
 55.6472001   12.5519574
 55.6480316   12.5511300

foot	901;902 #901;902
 55.6814942   12.5990158
 55.6815006   12.5988884
 55.6816189   12.5987547
 55.6819099   12.5984714
 55.6841376   12.6004278
 55.6841764   12.6013934
 55.6835790   12.6057988
 55.6833511   12.6060132
 55.6837318   12.6059452
 55.6839705   12.6042305
 55.6844296   12.6013918
 55.6844404   12.5997385
 55.6846358   12.5993378
 55.6866508   12.6003801
